Facility Id,Facility Name,FRS Id,City,State,Zip Code,Latest Reporting Year,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Is_Direct_Emitter,Is_Supplier,Basin,State where Emissions Occur,Does the facility employ continuous emissions monitoring? ,Parent Company,Parent Ownership %
1003203,"Northern States Power Company, A Minnesota Corporation",110043783956.0,Minneapolis,MN,55401,2015,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221210.0,"NN-LDC,W-LDC",,False,True,,,,XCEL ENERGY,100.0
1006458,"Northern States Power Company, A Minnesota Corporation - North Dakota",110043783956.0,Minneapolis,MN,55401,2015,414 Nicollet Mall,HENNEPIN COUNTY,44.97967,-93.26989,221210.0,NN-LDC,,False,True,,,,XCEL ENERGY,100.0
1006925,"Northern States Power Company, A Wisconsin Corporation",110043812194.0,Eau Claire,WI,54701,2015,1414 West Hamilton Avenue,EAU CLAIRE COUNTY,44.78513,-91.52548,221210.0,NN-LDC,,False,True,,,,XCEL ENERGY,100.0
1006456,"Northern States Power Company, A Wisconsin Corporation - Michigan",110043812194.0,Eau Claire,WI,54701,2015,1414 West Hamilton Avenue,EAU CLAIRE COUNTY,44.78513,-91.52548,221210.0,NN-LDC,,False,True,,,,XCEL ENERGY,100.0
1000091,Norwich,110019898896.0,NORWICH,CT,6360,2015,16 S GOLDEN ST,New London,41.5269,-72.0631,221210.0,"NN-LDC,W-LDC",,False,True,,,,CITY OF NORWICH CT,100.0
1011625,NuStar Supply and Trading LLC,110063745381.0,San Antonio,TX,78257,2015,19003 IH-10 West,BEXAR COUNTY,29.61937,-98.60744,551114.0,MM-IMP,,False,True,,,,NUSTAR ENERGY LP,100.0
1004425,OHL NGLP Hutchinson Plant,110000550617.0,HUTCHINSON,KS,67501,2015,1910 SOUTH BROADACRES ROAD,RENO COUNTY,38.02875,-97.97694,211112.0,"C,NN-FRAC,W-PROC",,False,True,,,,ONEOK PARTNERS LP,100.0
1004418,OHL NGLP Medford Plant,110000711533.0,MEDFORD,OK,73759,2015,25923 US Highway 81,GRANT COUNTY,36.77642,-97.7563,211112.0,"C,NN-FRAC,W-PROC",,False,True,,,,ONEOK PARTNERS LP,100.0
1010917,OHL NGLP Mont Belvieu NGL Fractionation and Storage Complex,110056339715.0,Baytown,TX,77523,2015,11350 Fitzgerald Rd.,CHAMBERS COUNTY,29.858333,-94.886944,211112.0,"C,NN-FRAC,W-PROC",,False,True,,,,ONEOK PARTNERS LP,100.0
1007071,ORANGE & ROCKLAND UTILITY,110001584492.0,PEARL RIVER,NY,10965,2015,ONE BLUE HILL PLAZA,ROCKLAND COUNTY,41.04814,-74.00866,221210.0,"NN-LDC,W-LDC",,False,True,,,,CONSOLIDATED EDISON INC,100.0
1004344,OWATONNA PUBLIC UTILITIES - WEST OWATONN,110008813150.0,OWATONNA,MN,55060,2015,3141 W BRIDGE ST,STEELE COUNTY,44.08426,-93.26487,221210.0,NN-LDC,,False,True,,,,OWATONNA PUBLIC UTILITIES,100.0
1002688,OXY USA - SHEEP MTN CO2 FACILITY,110043816172.0,GARDNER,CO,81040,2015,1386 CR 562,HUERFANO COUNTY,37.730049,-105.313119,211111.0,PP,,False,True,,,,EXXON MOBIL CORP,50.0
1002422,OZONA GAS PLANT,110043816181.0,OZONA,TX,76943,2015,,CROCKETT COUNTY,30.6817,-101.2173,211112.0,"C,NN-FRAC,W-PROC",,False,True,,,,"DCP Midstream, LP",62.5
1006793,Oak Ridge Utility District,110043969970.0,Oak Ridge,TN,37830,2015,120 South Jefferson Circle,ANDERSON COUNTY,36.00521,-84.28451,221210.0,NN-LDC,,False,True,,,,OAK RIDGE UTILITY DISTRICT,100.0
1000797,Ohio Cumberland Gas Company,110043972449.0,Mount Vernon,OH,43050,2015,20718 Danville-Amity Road,KNOX COUNTY,40.46963,-82.37604,221210.0,NN-LDC,,False,True,,,,OHIO CUMBERLAND GAS CO,100.0
1006995,"Ohio Valley Gas, Inc.",110043972788.0,Winchester,IN,47394,2015,111 Energy Park Dr. ,RANDOLPH COUNTY,40.159518,-84.981754,221210.0,NN-LDC,,False,True,,,,BEYNON FARM PRODUCTS CORP,100.0
